# id	pattern hex	text hex	start	end	anchor	encoding	longest	groups
empty_both	-	-	0	0	both	utf8	false	1
empty_unanchored	-	616263	0	3	unanchored	utf8	false	1
literal_both	616263	616263	0	3	both	utf8	false	1
literal_both_no_match	616263	7a616263	0	4	both	utf8	false	1
literal_unanchored	616263	7a6162637a	0	5	unanchored	utf8	false	1
literal_start	616263	6162637a	0	4	start	utf8	false	1
literal_start_no_match	616263	7a616263	0	4	start	utf8	false	1
literal_window	616263	7a6162637a	1	4	both	utf8	false	1
literal_later_window	616263	30306162633131	2	5	unanchored	utf8	false	1
alternation_first	61627c61	61	0	1	both	utf8	false	1
alternation_full_later_branch	617c6162	6162	0	2	both	utf8	false	1
alternation_partial_first	617c6162	6162	0	2	unanchored	utf8	false	1
alternation_partial_longest	617c6162	6162	0	2	unanchored	utf8	true	1
greedy_star	612a	616161	0	3	both	utf8	false	1
reluctant_partial	612a3f	616161	0	3	unanchored	utf8	false	1
reluctant_full	612a3f	61	0	1	both	utf8	false	1
optional_capture_present	2861293f62	6162	0	2	both	utf8	false	2
optional_capture_absent	2861293f62	62	0	1	both	utf8	false	2
two_captures	2861292862293f	6162	0	2	both	utf8	false	3
nested_captures	286128622929	6162	0	2	both	utf8	false	3
extra_capture_slots	286129	61	0	1	both	utf8	false	4
no_capture_slots	286129	61	0	1	both	utf8	false	0
empty_capture	28612a29	-	0	0	both	utf8	false	2
empty_at_start	612a	626262	0	3	unanchored	utf8	false	1
begin_text_anchor	5e61	61	0	1	both	utf8	false	1
begin_text_anchor_window	5e61	7861	1	2	both	utf8	false	1
end_text_anchor	6124	61	0	1	both	utf8	false	1
end_text_anchor_window	6124	6178	0	1	both	utf8	false	1
absolute_anchors	5c416162635c7a	616263	0	3	both	utf8	false	1
word_boundary	5c626361745c62	61206361742062	0	7	unanchored	utf8	false	1
dot_utf8	2e	c3a9	0	2	both	utf8	false	1
dot_invalid_utf8	2e	ff	0	1	both	utf8	false	1
any_byte_invalid_utf8	5c43	ff	0	1	both	utf8	false	1
dot_latin1	2e	ff	0	1	both	latin1	false	1
dot_newline_no_match	2e	0a	0	1	both	utf8	false	1
dotall_newline	283f73292e	0a	0	1	both	utf8	false	1
dotall_star_invalid_utf8	283f73292e2a	ff	0	1	both	utf8	false	1
dotall_star_latin1	283f73292e2a	ff	0	1	both	latin1	false	1
any_byte_star_invalid_utf8	5c432a	ff	0	1	both	utf8	false	1
unicode_capture	282e29	c3a9	0	2	both	utf8	false	2
latin1_capture	282e29	ff	0	1	both	latin1	false	2
invalid_utf8_prefix	61	ff61	0	2	unanchored	utf8	false	1
invalid_utf8_suffix	61	61ff	0	2	unanchored	utf8	false	1
nul_pattern	00	00	0	1	both	utf8	false	1
nul_in_text	00	610062	0	3	unanchored	utf8	false	1
character_class	5b612d635d2b	626163	0	3	both	utf8	false	1
case_fold	283f6929616263	416243	0	3	both	utf8	false	1
empty_window_no_match	61	61	0	0	both	utf8	false	1
empty_window_match	612a	61	1	1	both	utf8	false	1
